RaumID;DislozierungID;Kurzbezeichnung;Bezeichnung;Code;UPISBez
1;NULL;E00;Stiege;E;NULL
2;NULL;E01;Windfang;E;NULL
3;NULL;E02;Gang;E;NULL
4;NULL;E03;Schulwart Kanzel;E;NULL
5;NULL;E04;Gang;E;NULL
6;NULL;E05;Lehrerzimmer;E;NULL
7;NULL;E06;Chemie Kabinett;E;NULL
8;NULL;E07;Chemie;E;E07
9;NULL;E08;Lehrerzimmer;E;NULL
10;NULL;E09;1AHD;E;E09
11;NULL;E10;3EHD;E;E10
12;NULL;E11;3DHD;E;E11
13;NULL;E12;Lehrerzimmer;E;NULL
14;NULL;E13;WC-L;E;NULL
15;NULL;E15;WC-H;E;NULL
16;NULL;E16;WC-B;E;NULL
17;NULL;E18;Abstellkammer;E;NULL
18;NULL;E19;Reiniungsgeräte;E;NULL
19;NULL;E20;WC-D;E;NULL
20;NULL;E22;5AHE;E;E22
21;NULL;E23;1AHE;E;E23
22;NULL;E24;1AFE;E;E24
23;NULL;E25;1BHD;E;E25
24;NULL;E26;2AHD;E;E26
25;NULL;E30;Gang;E;NULL
26;NULL;E31;Lehrerzimmer;E;NULL
27;NULL;E32;Lehrerzimmer;E;NULL
28;NULL;E33;Lichtpausen;E;NULL
29;NULL;E34;Gang;E;NULL
30;NULL;E35;Kanzlei;E;NULL
31;NULL;E36;Rechnungsführer;E;NULL
32;NULL;E37;Direktion;E;NULL
33;NULL;E38;AV;E;NULL
34;NULL;E39;Lehrerzimmer;E;NULL
35;NULL;E40;Archiv;E;NULL
36;NULL;E41;Archiv;E;NULL
37;NULL;E42;Küche;E;NULL
38;NULL;E43;WC-D;E;NULL
39;NULL;E45;WR-H;E;NULL
40;NULL;E46;WC-H;E;NULL
41;NULL;E48;Garderobe Personal;E;NULL
42;NULL;E49;WR-P;E;NULL
43;NULL;E50;Personal;E;NULL
44;NULL;E51;Systembetreuer;E;NULL
45;NULL;E52;NULL;E;NULL
46;NULL;E53;Lehrerzimmer;E;NULL
47;NULL;E54;Lehrerzimmer;E;NULL
48;NULL;E55;Lehrerzimmer;E;NULL
49;NULL;E56;Lichtpausen;E;NULL
50;NULL;E57a;Buffet;E;NULL
51;NULL;E57b;Buffet;E;NULL
52;NULL;E58;Bibliothek;E;E58-1
53;NULL;E59;MZR;E;NULL
54;NULL;E60;WR-H;E;NULL
55;NULL;E61;WC-H;E;NULL
56;NULL;E62;WC-D;E;NULL
57;NULL;E63;Putzraum;E;NULL
58;NULL;OG101;Gang Mitte;O1;NULL
59;NULL;OG102;Gang;O1;NULL
60;NULL;OG103;Leherzimmer;O1;NULL
61;NULL;OG104;EDV6;O1;104
62;NULL;OG105;5AHD;O1;105
63;NULL;OG106;4BHD;O1;106
64;NULL;OG107;4AHD;O1;107
65;NULL;OG108;EDV2;O1;108-a
66;NULL;OG109;EDV1;O1;109-a
67;NULL;OG110;WR-H;O1;NULL
68;NULL;OG112;WC-H;O1;NULL
69;NULL;OG114;WC-L;O1;NULL
70;NULL;OG115;WC-B;O1;NULL
71;NULL;OG116;Putzraum;O1;NULL
72;NULL;OG118;WC-D;O1;NULL
73;NULL;OG119;4CHD;O1;119
74;NULL;OG120;3DHD;O1;120
75;NULL;OG121;EDV3;O1;121
76;NULL;OG122;EDV4;O1;122
77;NULL;OG123;EDV5;O1;123
78;NULL;OG124;Lehrerzimmer;O1;NULL
79;NULL;OG130;Gang;O1;NULL
80;NULL;OG131;Lehrerzimmer;O1;NULL
81;NULL;OG132;3AHD;O1;132
82;NULL;OG133;3BHD;O1;133
83;NULL;OG134;3CHD;O1;134
84;NULL;OG135;PRRV-Lab-a;O1;135-a
85;NULL;OG136;WR-H;O1;NULL
86;NULL;OG137;WC-H;O1;NULL
87;NULL;OG138;Putzraum;O1;NULL
88;NULL;OG140;WR-D;O1;NULL
89;NULL;OG141;WC-D;O1;NULL
90;NULL;OG142;Lehrerzimmer;O1;NULL
91;NULL;OG143;FTKL2;O1;143
92;NULL;OG144;EDV-Elektronik;O1;144
93;NULL;OG145;FTKL;O1;145
94;NULL;OG146;2BHD;O1;146
95;NULL;OG147;2AHD;O1;147
96;NULL;OG148;Lehrerzimmer;O1;NULL
97;NULL;OG201;Gang Mitte;O2;NULL
98;NULL;OG202;Gang;O2;NULL
99;NULL;OG203;Lehrerzimmer;O2;NULL
100;NULL;OG204;5BHE;O2;204
101;NULL;OG205;Abstellraum;O2;NULL
102;NULL;OG206;Lehrerzimmer;O2;NULL
103;NULL;OG207;Abstellraum;O2;NULL
104;NULL;OG208;WC-B;O2;NULL
105;NULL;OG209;WR-H;O2;NULL
106;NULL;OG210;WC-H;O2;NULL
107;NULL;OG212;WC-L;O2;NULL
108;NULL;OG213;4AFE;O2;213
109;NULL;OG214;3AFE;O2;214
110;NULL;OG215;2AFE;O2;215
111;NULL;OG216;2BHE;O2;216
112;NULL;OG217;2AHE;O2;217
113;NULL;OG218;Lehrerzimmer;O2;NULL
114;NULL;OG220;Abstellraum;O2;NULL
115;NULL;OG221;Lehrerzimmer;O2;NULL
116;NULL;OG222;Lehrerzimmer;O2;NULL
117;NULL;OG223;Lehrerzimmer;O2;NULL
118;NULL;OG224;Abstellraum;O2;NULL
119;NULL;OG225;Gang;O2;NULL
120;NULL;OG226;Lehrerzimmer;O2;NULL
121;NULL;OG227;4AHE;O2;227
122;NULL;OG228;1BHE;O2;228
123;NULL;OG229;1CHE;O2;229
124;NULL;OG230;4BHE;O2;230
125;NULL;OG231;5CHE;O2;231
126;NULL;OG232;WC-D;O2;NULL
127;NULL;OG234;WR-H;O2;NULL
128;NULL;OG235;WC-H;O2;NULL
129;NULL;OG236;Putzraum;O2;NULL
130;NULL;OG237;Lehrerzimmer;O2;NULL
131;NULL;OG238;Abstellraum;O2;NULL
132;NULL;OG239;2CHE;O2;239
133;NULL;OG240;Abstellraum;O2;NULL
134;NULL;OG241;Lehrerzimmer;O2;NULL
135;NULL;T01;Gang;T;NULL
136;NULL;T02;Schularzt;T;NULL
137;NULL;T10;Garderobe;T;NULL
138;NULL;T11;Lehrerzimmer;T;NULL
139;NULL;T13;WC;T;NULL
140;NULL;T14;Dusche;T;NULL
141;NULL;T15;Geräteraum;T;NULL
142;NULL;T16;Turnsaal HTBLA;T;T16
143;NULL;T17;Lehrerzimmer;T;NULL
144;NULL;T18;Garage;T;NULL
145;NULL;T19;Werkstatt;T;NULL
146;NULL;T03;Garderobe;T;NULL
147;NULL;T06;Dusche;T;NULL
148;NULL;T07;Dusche;T;NULL
149;NULL;U01;Stiege Mitte;U;NULL
150;NULL;U02;Gang;U;NULL
151;NULL;U03;Lehrerzimmer;U1;NULL
152;NULL;U04;LABOR;U;U04
153;NULL;U05;Lager;U;NULL
154;NULL;U06;Lager;U;NULL
155;NULL;U07;Werkst. Kunststoff;U;U07
156;NULL;U08;Werkst. Nachrichte;U1;U08
157;NULL;U10;LABOR;U1;U10
158;NULL;U58;Garderobe;U;NULL
159;NULL;U70;Instrumente;U;NULL
160;NULL;U71;LABOR;U1;U71
161;NULL;U72;LABOR;U1;U72
162;NULL;U73;LABOR;U1;U73
163;NULL;U74;Werkst. Gerätebau;U1;U74
164;NULL;U76;Werkstatt;U1;NULL
165;NULL;U75;Dunkelkammer;U1;NULL
166;NULL;U77;Werkstatt;U;NULL
167;NULL;U78a;kein Bezeichnung;U;NULL
168;NULL;U78;Werkstatt;U;NULL
169;NULL;U79;Werkstatt;U;NULL
170;NULL;U81;Werkst. SPS;U;U81
171;NULL;U82;Werkst. Computerte;U;U82
172;NULL;U83;Werkst. Hochfreque;U;U83
173;NULL;U84;Werkst. Grundlagen;U;U84
174;NULL;U85;Werkst. Installati;U;U85
175;NULL;U86;Werkst. CNC;U;U86
176;NULL;U87;Werkst. Drehen;U;U87
177;NULL;U88;Werkst. Blechbearb.;U;U88
178;NULL;U89;Werkst. Grundlagen;U;U89
179;NULL;U90;Lager;U;NULL
180;NULL;U91;Werkstättenleiter;U;NULL
181;NULL;U92;Lehrerzimmer;U;NULL
182;NULL;E58;CTV;E;E58-2
183;NULL;NULL;Turnsaal Doppl;T;Tdopp
184;NULL;NULL;Turnsaal Traun;T;Ttraun
185;NULL;NULL;Turnsaal Fremd;T;T
186;NULL;NULL;Schwimmhalle;NULL;S
187;NULL;NULL;EDV2 Traun;NULL;TEDV2
188;NULL;NULL;EDV1 Traun;NULL;TEDV1
189;NULL;OG109;EDV1;O1;109-b
190;NULL;OG108;EDV2;O1;108-b
191;NULL;NULL;2DHD;NULL;KD-1
192;NULL;NULL;2EHD;NULL;KD-2
193;NULL;NULL;2BHD;NULL;KD-3
194;NULL;NULL;2CHD;NULL;KD-4
195;NULL;NULL;1CHD;NULL;KT-1
196;NULL;NULL;1DHD;NULL;KT-2
197;NULL;NULL;1EHD;NULL;KT-3
198;NULL;NULL;5BHD;NULL;CON-2
199;NULL;NULL;5.Jg Elektronik;NULL;CON-1
200;NULL;OG135;PRRV-Lab-b;O1;135-b
201;NULL;OG135;PRRV-Lab-c;O1;135-c
202;NULL;NULL;DUMMY 1 3AHE;NULL;DUMY1
203;NULL;NULL;DUMMY 2 3BHE;NULL;DUMY2
204;NULL;NULL;DUMMY 3 3CHE;NULL;DUMY3
205;NULL;NULL;Andere Schule;NULL;A1
206;NULL;NULL;NULL;NULL;Con2
207;NULL;NULL;NULL;NULL;dummy
208;NULL;E74;Lehrerzimmer;NULL;NULL
209;NULL;OG254;Lehrerzimmer;NULL;NULL
210;NULL;E71;NULL;NULL;E71
211;NULL;E72;NULL;NULL;E72
212;NULL;OG152;NULL;NULL;NULL
213;NULL;OG153;NULL;NULL;NULL
214;NULL;OG154;NULL;NULL;NULL
215;NULL;OG151;NULL;NULL;NULL
